trace,l1p,l2p,repl,inc,metric,value
mix1,no,no,lru,NON,ipc,.64633235903150090833
mix1,no,no,lru,EXC,ipc,.65799813818971865184
mix1,no,no,eaf,NON,ipc,.65699936531004878269
mix1,no,no,eaf,EXC,ipc,.64407620504633223665
mix1,no,no,ship,NON,ipc,.67671534631069548892
mix1,no,no,ship,EXC,ipc,.64310264794486919781
mix1,no,no,drrip,NON,ipc,.66287846360741430704
mix1,no,no,drrip,EXC,ipc,.64045777792916114825
mix1,no,no,kpcr,NON,ipc,.65358064453807481360
mix1,no,no,kpcr,EXC,ipc,.63844239923598571681
mix1,no,ip_stride,lru,NON,ipc,.85949079211861330446
mix1,no,ip_stride,lru,EXC,ipc,.79812204246347453090
mix1,no,ip_stride,eaf,NON,ipc,.86206222907055312979
mix1,no,ip_stride,eaf,EXC,ipc,.79248465116795917422
mix1,no,ip_stride,ship,NON,ipc,.86724610364429998222
mix1,no,ip_stride,ship,EXC,ipc,.79130379617907809426
mix1,no,ip_stride,drrip,NON,ipc,.86228909941387503897
mix1,no,ip_stride,drrip,EXC,ipc,.79293925034472684138
mix1,no,ip_stride,kpcr,NON,ipc,.86563664409939641419
mix1,no,ip_stride,kpcr,EXC,ipc,.79124982130168912170
mix1,no,next_line,lru,NON,ipc,.75998293794122551679
mix1,no,next_line,lru,EXC,ipc,.74726588713215820925
mix1,no,next_line,eaf,NON,ipc,.76994002556136211858
mix1,no,next_line,eaf,EXC,ipc,.75221055742644180939
mix1,no,next_line,ship,NON,ipc,.78268744046205157628
mix1,no,next_line,ship,EXC,ipc,.76403321874307779090
mix1,no,next_line,drrip,NON,ipc,.77270138885996205466
mix1,no,next_line,drrip,EXC,ipc,.75253344048456936243
mix1,no,next_line,kpcr,NON,ipc,.77031961101625952231
mix1,no,next_line,kpcr,EXC,ipc,.75666462584124730565
mix1,no,daampm,lru,NON,ipc,.89696884953374044427
mix1,no,daampm,lru,EXC,ipc,.88420867255801986756
mix1,no,daampm,eaf,NON,ipc,.90364965432987834802
mix1,no,daampm,eaf,EXC,ipc,.89458895100667150205
mix1,no,daampm,ship,NON,ipc,.91202890826880152356
mix1,no,daampm,ship,EXC,ipc,.90445972836248273467
mix1,no,daampm,drrip,NON,ipc,.90044484920053965142
mix1,no,daampm,drrip,EXC,ipc,.88935451394606116253
mix1,no,daampm,kpcr,NON,ipc,.90534811756123647645
mix1,no,daampm,kpcr,EXC,ipc,.89881028796070120025
mix1,no,bop,lru,NON,ipc,.82882274439167916352
mix1,no,bop,lru,EXC,ipc,.79372951219444592551
mix1,no,bop,eaf,NON,ipc,.83510226367188435722
mix1,no,bop,eaf,EXC,ipc,.80850498872294298801
mix1,no,bop,ship,NON,ipc,.83631879629622420619
mix1,no,bop,ship,EXC,ipc,.81078540989228193040
mix1,no,bop,drrip,NON,ipc,.84366017896905611111
mix1,no,bop,drrip,EXC,ipc,.80277974520763762768
mix1,no,bop,kpcr,NON,ipc,.83918074739435301294
mix1,no,bop,kpcr,EXC,ipc,.80888713639266207326
mix1,no,kpcp,lru,NON,ipc,.91755633936598572354
mix1,no,kpcp,lru,EXC,ipc,.87558927694862864482
mix1,no,kpcp,eaf,NON,ipc,.92185547026402397641
mix1,no,kpcp,eaf,EXC,ipc,.90412102649187745277
mix1,no,kpcp,ship,NON,ipc,.92394414713529247966
