trace,l1p,l2p,repl,inc,metric,value
dataCaching,no,ip_stride,eaf,NON,l1_evict,11363761
dataCaching,no,ip_stride,eaf,NON,l2_evict,5483441
dataCaching,no,ip_stride,eaf,NON,l3_evict,931892
dataCaching,no,ip_stride,eaf,NON,llc_mpki,0.915568
dataCaching,no,ip_stride,eaf,NON,l1_evict_inc,0
dataCaching,no,ip_stride,eaf,NON,l2_evict_inc,0
dataCaching,no,ip_stride,eaf,EXC,ipc,0.394764
dataCaching,no,ip_stride,eaf,EXC,cycles,2533158130
dataCaching,no,ip_stride,eaf,EXC,l1_evict,11363567
dataCaching,no,ip_stride,eaf,EXC,l2_evict,5488389
dataCaching,no,ip_stride,eaf,EXC,l3_evict,4356541
dataCaching,no,ip_stride,eaf,EXC,llc_mpki,6.31939
dataCaching,no,ip_stride,eaf,EXC,l1_evict_inc,0
dataCaching,no,ip_stride,eaf,EXC,l2_evict_inc,0
dataCaching,no,ip_stride,ship,NON,ipc,0.410049
dataCaching,no,ip_stride,ship,NON,cycles,2438733833
dataCaching,no,ip_stride,ship,NON,l1_evict,11369105
dataCaching,no,ip_stride,ship,NON,l2_evict,5517203
dataCaching,no,ip_stride,ship,NON,l3_evict,1007415
dataCaching,no,ip_stride,ship,NON,llc_mpki,0.992786
dataCaching,no,ip_stride,ship,NON,l1_evict_inc,0
dataCaching,no,ip_stride,ship,NON,l2_evict_inc,0
dataCaching,no,ip_stride,ship,EXC,ipc,0.394429
dataCaching,no,ip_stride,ship,EXC,cycles,2535311720
dataCaching,no,ip_stride,ship,EXC,l1_evict,11368898
dataCaching,no,ip_stride,ship,EXC,l2_evict,5520238
dataCaching,no,ip_stride,ship,EXC,l3_evict,4391655
dataCaching,no,ip_stride,ship,EXC,llc_mpki,6.3719
dataCaching,no,ip_stride,ship,EXC,l1_evict_inc,0
dataCaching,no,ip_stride,ship,EXC,l2_evict_inc,0
dataCaching,no,ip_stride,drrip,NON,ipc,0.410744
dataCaching,no,ip_stride,drrip,NON,cycles,2434605677
dataCaching,no,ip_stride,drrip,NON,l1_evict,11369105
dataCaching,no,ip_stride,drrip,NON,l2_evict,5517201
dataCaching,no,ip_stride,drrip,NON,l3_evict,1000387
dataCaching,no,ip_stride,drrip,NON,llc_mpki,0.989013
dataCaching,no,ip_stride,drrip,NON,l1_evict_inc,0
dataCaching,no,ip_stride,drrip,NON,l2_evict_inc,0
dataCaching,no,ip_stride,drrip,EXC,ipc,0.393994
dataCaching,no,ip_stride,drrip,EXC,cycles,2538106716
dataCaching,no,ip_stride,drrip,EXC,l1_evict,11368907
dataCaching,no,ip_stride,drrip,EXC,l2_evict,5520229
dataCaching,no,ip_stride,drrip,EXC,l3_evict,4671543
dataCaching,no,ip_stride,drrip,EXC,llc_mpki,6.51756
dataCaching,no,ip_stride,drrip,EXC,l1_evict_inc,0
dataCaching,no,ip_stride,drrip,EXC,l2_evict_inc,0
dataCaching,no,ip_stride,kpcr,NON,ipc,0.408656
dataCaching,no,ip_stride,kpcr,NON,cycles,2447044561
dataCaching,no,ip_stride,kpcr,NON,l1_evict,11369077
dataCaching,no,ip_stride,kpcr,NON,l2_evict,5517203
dataCaching,no,ip_stride,kpcr,NON,l3_evict,1088269
dataCaching,no,ip_stride,kpcr,NON,llc_mpki,1.15042
dataCaching,no,ip_stride,kpcr,NON,l1_evict_inc,0
dataCaching,no,ip_stride,kpcr,NON,l2_evict_inc,0
dataCaching,no,ip_stride,kpcr,EXC,ipc,0.394683
dataCaching,no,ip_stride,kpcr,EXC,cycles,2533678452
dataCaching,no,ip_stride,kpcr,EXC,l1_evict,11368906
dataCaching,no,ip_stride,kpcr,EXC,l2_evict,5520243
dataCaching,no,ip_stride,kpcr,EXC,l3_evict,4385728
